col1,col2,col3,col4,col5,col6
1,0.05,0.5,0.090,0.093,3.33%
2,0.10,1.0,,0.114,26.67%
3,0.15,1.5,,0.125,38.89%
4,0.20,2.0,,0.142,57.78%
5,0.25,2.5,,0.165,83.33%
6,0.30,3.0,,0.178,97.78%
7,0.35,3.5,,0.195,116.67%
8,0.40,4.0,,0.210,133.33%
9,0.45,4.5,,0.230,155.56%
10,0.50,5.0,,0.265,194.44%
11,0.55,5.5,,0.285,216.67%
12,0.60,6.0,,0.303,236.67%
13,0.65,6.5,,0.345,283.33%
14,0.70,7.0,,0.376,317.78%
15,0.75,7.5,,0.387,330.00%
16,0.80,8.0,,0.392,335.56%
17,0.85,8.5,,0.407,352.22%
18,0.90,9.0,,0.420,366.67%
19,0.95,9.5,,0.427,374.44%
20,1.00,10.0,,0.440,388.89%
21,1.05,10.5,,0.443,392.22%
